State,Date,Cumulative_Prisoner_Deaths
Wyoming,2021-03-07,682.0
Wyoming,2021-03-06,682.0
Wyoming,2021-03-05,682.0
Wyoming,2021-03-04,682.0
Wyoming,2021-03-03,682.0
Wyoming,2021-03-02,682.0
Wyoming,2021-03-01,671.0
Wyoming,2021-02-28,671.0
Wyoming,2021-02-27,671.0
Wyoming,2021-02-26,671.0
Wyoming,2021-02-25,671.0
Wyoming,2021-02-24,671.0
Wyoming,2021-02-23,671.0
Wyoming,2021-02-22,662.0
Wyoming,2021-02-21,662.0
Wyoming,2021-02-20,662.0
Wyoming,2021-02-19,662.0
Wyoming,2021-02-18,662.0
Wyoming,2021-02-17,662.0
Wyoming,2021-02-16,662.0
Wyoming,2021-02-15,647.0
Wyoming,2021-02-14,647.0
Wyoming,2021-02-13,647.0
Wyoming,2021-02-12,647.0
Wyoming,2021-02-11,647.0
Wyoming,2021-02-10,647.0
Wyoming,2021-02-09,647.0
Wyoming,2021-02-08,624.0
Wyoming,2021-02-07,624.0
Wyoming,2021-02-06,624.0
Wyoming,2021-02-05,624.0
Wyoming,2021-02-04,624.0
Wyoming,2021-02-03,624.0
Wyoming,2021-02-02,624.0
Wyoming,2021-02-01,596.0
Wyoming,2021-01-31,596.0
Wyoming,2021-01-30,596.0
Wyoming,2021-01-29,596.0
Wyoming,2021-01-28,596.0
Wyoming,2021-01-27,596.0
Wyoming,2021-01-26,596.0
Wyoming,2021-01-25,571.0
Wyoming,2021-01-24,571.0
Wyoming,2021-01-23,571.0
Wyoming,2021-01-22,571.0
Wyoming,2021-01-21,550.0
Wyoming,2021-01-20,550.0
Wyoming,2021-01-19,550.0
Wyoming,2021-01-18,522.0
Wyoming,2021-01-17,522.0
Wyoming,2021-01-16,522.0
Wyoming,2021-01-15,522.0
Wyoming,2021-01-14,522.0
Wyoming,2021-01-13,522.0
Wyoming,2021-01-12,522.0
Wyoming,2021-01-11,489.0
Wyoming,2021-01-10,489.0
Wyoming,2021-01-09,489.0
Wyoming,2021-01-08,489.0
Wyoming,2021-01-07,489.0
Wyoming,2021-01-06,464.0
Wyoming,2021-01-05,464.0
Wyoming,2021-01-04,438.0
Wyoming,2021-01-03,438.0
Wyoming,2021-01-02,438.0
Wyoming,2021-01-01,438.0
Wyoming,2020-12-31,438.0
Wyoming,2020-12-30,405.0
Wyoming,2020-12-29,405.0
Wyoming,2020-12-28,405.0
Wyoming,2020-12-27,373.0
Wyoming,2020-12-26,373.0
Wyoming,2020-12-25,373.0
Wyoming,2020-12-24,373.0
Wyoming,2020-12-23,373.0
Wyoming,2020-12-22,373.0
Wyoming,2020-12-21,351.0
Wyoming,2020-12-20,351.0
Wyoming,2020-12-19,351.0
Wyoming,2020-12-18,351.0
Wyoming,2020-12-17,351.0
Wyoming,2020-12-16,328.0
Wyoming,2020-12-15,328.0
Wyoming,2020-12-14,321.0
Wyoming,2020-12-13,321.0
Wyoming,2020-12-12,321.0
Wyoming,2020-12-11,321.0
Wyoming,2020-12-10,299.0
Wyoming,2020-12-09,299.0
Wyoming,2020-12-08,280.0
Wyoming,2020-12-07,280.0
Wyoming,2020-12-06,257.0
Wyoming,2020-12-05,257.0
Wyoming,2020-12-04,257.0
Wyoming,2020-12-03,257.0
Wyoming,2020-12-02,230.0
Wyoming,2020-12-01,230.0
Wyoming,2020-11-30,215.0
Wyoming,2020-11-29,215.0
Wyoming,2020-11-28,215.0
Wyoming,2020-11-27,215.0
Wyoming,2020-11-26,215.0
Wyoming,2020-11-25,215.0
Wyoming,2020-11-24,202.0
Wyoming,2020-11-23,202.0
Wyoming,2020-11-22,176.0
Wyoming,2020-11-21,176.0
Wyoming,2020-11-20,176.0
Wyoming,2020-11-19,176.0
Wyoming,2020-11-18,155.0
Wyoming,2020-11-17,155.0
Wyoming,2020-11-16,144.0
Wyoming,2020-11-15,144.0
Wyoming,2020-11-14,144.0
Wyoming,2020-11-13,127.0
Wyoming,2020-11-12,127.0
Wyoming,2020-11-11,127.0
Wyoming,2020-11-10,127.0
Wyoming,2020-11-09,114.0
Wyoming,2020-11-08,114.0
Wyoming,2020-11-07,105.0
Wyoming,2020-11-06,105.0
Wyoming,2020-11-05,105.0
Wyoming,2020-11-04,105.0
Wyoming,2020-11-03,93.0
Wyoming,2020-11-02,87.0
Wyoming,2020-11-01,87.0
Wyoming,2020-10-31,87.0
Wyoming,2020-10-30,87.0
Wyoming,2020-10-29,87.0
Wyoming,2020-10-28,77.0
Wyoming,2020-10-27,77.0
Wyoming,2020-10-26,77.0
Wyoming,2020-10-25,68.0
Wyoming,2020-10-24,68.0
Wyoming,2020-10-23,68.0
Wyoming,2020-10-22,68.0
Wyoming,2020-10-21,61.0
Wyoming,2020-10-20,61.0
Wyoming,2020-10-19,57.0
Wyoming,2020-10-18,57.0
Wyoming,2020-10-17,57.0
Wyoming,2020-10-16,57.0
Wyoming,2020-10-15,57.0
Wyoming,2020-10-14,57.0
Wyoming,2020-10-13,57.0
Wyoming,2020-10-12,54.0
Wyoming,2020-10-11,54.0
Wyoming,2020-10-10,54.0
Wyoming,2020-10-09,54.0
Wyoming,2020-10-08,54.0
Wyoming,2020-10-07,53.0
Wyoming,2020-10-06,53.0
Wyoming,2020-10-05,53.0
Wyoming,2020-10-04,53.0
Wyoming,2020-10-03,53.0
Wyoming,2020-10-02,53.0
Wyoming,2020-10-01,53.0
Wyoming,2020-09-30,50.0
Wyoming,2020-09-29,50.0
Wyoming,2020-09-28,50.0
Wyoming,2020-09-27,50.0
Wyoming,2020-09-26,50.0
Wyoming,2020-09-25,50.0
Wyoming,2020-09-24,50.0
Wyoming,2020-09-23,50.0
Wyoming,2020-09-22,49.0
Wyoming,2020-09-21,49.0
Wyoming,2020-09-20,49.0
Wyoming,2020-09-19,49.0
Wyoming,2020-09-18,49.0
Wyoming,2020-09-17,49.0
Wyoming,2020-09-16,46.0
Wyoming,2020-09-15,46.0
Wyoming,2020-09-14,46.0
Wyoming,2020-09-13,42.0
Wyoming,2020-09-12,42.0
Wyoming,2020-09-11,42.0
Wyoming,2020-09-10,42.0
Wyoming,2020-09-09,42.0
Wyoming,2020-09-08,42.0
Wyoming,2020-09-07,42.0
Wyoming,2020-09-06,42.0
Wyoming,2020-09-05,42.0
Wyoming,2020-09-04,42.0
Wyoming,2020-09-03,41.0
Wyoming,2020-09-02,41.0
Wyoming,2020-09-01,41.0
Wyoming,2020-08-31,37.0
Wyoming,2020-08-30,37.0
Wyoming,2020-08-29,37.0
Wyoming,2020-08-28,37.0
Wyoming,2020-08-27,37.0
Wyoming,2020-08-26,37.0
Wyoming,2020-08-25,37.0
Wyoming,2020-08-24,37.0
Wyoming,2020-08-23,37.0
Wyoming,2020-08-22,37.0
Wyoming,2020-08-21,37.0
Wyoming,2020-08-20,34.0
Wyoming,2020-08-19,34.0
Wyoming,2020-08-18,34.0
Wyoming,2020-08-17,33.0
Wyoming,2020-08-16,30.0
Wyoming,2020-08-15,30.0
Wyoming,2020-08-14,30.0
Wyoming,2020-08-13,30.0
Wyoming,2020-08-12,29.0
Wyoming,2020-08-11,29.0
Wyoming,2020-08-10,28.0
Wyoming,2020-08-09,28.0
Wyoming,2020-08-08,28.0
Wyoming,2020-08-07,28.0
Wyoming,2020-08-06,27.0
Wyoming,2020-08-05,27.0
Wyoming,2020-08-04,27.0
Wyoming,2020-08-03,27.0
Wyoming,2020-08-02,26.0
Wyoming,2020-08-01,26.0
Wyoming,2020-07-31,26.0
Wyoming,2020-07-30,26.0
Wyoming,2020-07-29,26.0
Wyoming,2020-07-28,26.0
Wyoming,2020-07-27,25.0
Wyoming,2020-07-26,25.0
Wyoming,2020-07-25,25.0
Wyoming,2020-07-24,25.0
Wyoming,2020-07-23,25.0
Wyoming,2020-07-22,25.0
Wyoming,2020-07-21,25.0
Wyoming,2020-07-20,24.0
Wyoming,2020-07-19,24.0
Wyoming,2020-07-18,24.0
Wyoming,2020-07-17,24.0
Wyoming,2020-07-16,24.0
Wyoming,2020-07-15,22.0
Wyoming,2020-07-14,22.0
Wyoming,2020-07-13,21.0
Wyoming,2020-07-12,21.0
Wyoming,2020-07-11,21.0
Wyoming,2020-07-10,21.0
Wyoming,2020-07-09,21.0
Wyoming,2020-07-08,21.0
Wyoming,2020-07-07,20.0
Wyoming,2020-07-06,20.0
Wyoming,2020-07-05,20.0
Wyoming,2020-07-04,20.0
Wyoming,2020-07-03,20.0
Wyoming,2020-07-02,20.0
Wyoming,2020-07-01,20.0
Wyoming,2020-06-30,20.0
Wyoming,2020-06-29,20.0
Wyoming,2020-06-28,20.0
Wyoming,2020-06-27,20.0
Wyoming,2020-06-26,20.0
Wyoming,2020-06-25,20.0
Wyoming,2020-06-24,20.0
Wyoming,2020-06-23,20.0
Wyoming,2020-06-22,20.0
Wyoming,2020-06-21,20.0
Wyoming,2020-06-20,20.0
Wyoming,2020-06-19,20.0
Wyoming,2020-06-18,18.0
Wyoming,2020-06-17,18.0
Wyoming,2020-06-16,18.0
Wyoming,2020-06-15,18.0
Wyoming,2020-06-14,18.0
Wyoming,2020-06-13,18.0
Wyoming,2020-06-12,18.0
Wyoming,2020-06-11,18.0
Wyoming,2020-06-10,18.0
Wyoming,2020-06-09,17.0
Wyoming,2020-06-08,17.0
Wyoming,2020-06-07,17.0
Wyoming,2020-06-06,17.0
Wyoming,2020-06-05,17.0
Wyoming,2020-06-04,17.0
Wyoming,2020-06-03,17.0
Wyoming,2020-06-02,17.0
Wyoming,2020-06-01,17.0
Wyoming,2020-05-31,16.0
