State,Date,Number_of_Cases,Number_of_Deaths,Cumulative_Prisoner_Deaths,Total_Prisoner_Cases,Total_Prisoner_Deaths
Wyoming,3/21/2021,55581,693,,,
Wyoming,3/20/2021,55581,693,,,
Wyoming,3/19/2021,55581,693,,,
Wyoming,3/18/2021,55479,693,,,
Wyoming,3/17/2021,55449,693,,,
Wyoming,3/16/2021,55352,693,,846,3
Wyoming,3/15/2021,55327,691,,,
Wyoming,3/14/2021,55163,691,,,
Wyoming,3/13/2021,55163,691,,,
Wyoming,3/12/2021,55163,691,,,
Wyoming,3/11/2021,55112,691,,,
Wyoming,3/10/2021,55014,691,,,
Wyoming,3/9/2021,54972,691,,795,3
Wyoming,3/8/2021,54903,682,,,
Wyoming,3/7/2021,54764,682,682,,
Wyoming,3/6/2021,54764,682,682,,
Wyoming,3/5/2021,54764,682,682,,
Wyoming,3/4/2021,54685,682,682,,
Wyoming,3/3/2021,54616,682,682,,
Wyoming,3/2/2021,54527,682,682,789,3
Wyoming,3/1/2021,54471,671,671,,
Wyoming,2/28/2021,54394,671,671,,
Wyoming,2/27/2021,54350,671,671,,
Wyoming,2/26/2021,54350,671,671,,
Wyoming,2/25/2021,54202,671,671,,
Wyoming,2/24/2021,53988,671,671,,
Wyoming,2/23/2021,53944,671,671,770,3
Wyoming,2/22/2021,53900,662,662,,
Wyoming,2/21/2021,53795,662,662,,
Wyoming,2/20/2021,53683,662,662,,
Wyoming,2/19/2021,53683,662,662,,
Wyoming,2/18/2021,53531,662,662,,
Wyoming,2/17/2021,53450,662,662,,
Wyoming,2/16/2021,53351,662,662,742,3
Wyoming,2/15/2021,53136,647,647,,
Wyoming,2/14/2021,53136,647,647,,
Wyoming,2/13/2021,53086,647,647,,
Wyoming,2/12/2021,53086,647,647,,
Wyoming,2/11/2021,52979,647,647,,
Wyoming,2/10/2021,52874,647,647,,
Wyoming,2/9/2021,52830,647,647,,
Wyoming,2/8/2021,52784,624,624,,
Wyoming,2/7/2021,52627,624,624,,
Wyoming,2/6/2021,52618,624,624,,
Wyoming,2/5/2021,52576,624,624,,
Wyoming,2/4/2021,52468,624,624,,
Wyoming,2/3/2021,52288,624,624,,
Wyoming,2/2/2021,52128,624,624,,
Wyoming,2/1/2021,52057,596,596,,
Wyoming,1/31/2021,51912,596,596,,
Wyoming,1/30/2021,51704,596,596,,
Wyoming,1/29/2021,51690,596,596,,
Wyoming,1/28/2021,51430,596,596,,
Wyoming,1/27/2021,51368,596,596,,
Wyoming,1/26/2021,51152,596,596,,
Wyoming,1/25/2021,51062,571,571,,
Wyoming,1/24/2021,50898,571,571,,
Wyoming,1/23/2021,50583,571,571,,
Wyoming,1/22/2021,50583,571,571,,
Wyoming,1/21/2021,50424,550,550,,
Wyoming,1/20/2021,50124,550,550,,
Wyoming,1/19/2021,49922,550,550,627,1
Wyoming,1/18/2021,49708,522,522,,
Wyoming,1/17/2021,49363,522,522,,
Wyoming,1/16/2021,49068,522,522,,
Wyoming,1/15/2021,48909,522,522,,
Wyoming,1/14/2021,48701,522,522,,
Wyoming,1/13/2021,48289,522,522,,
Wyoming,1/12/2021,48072,522,522,561,1
Wyoming,1/11/2021,47395,489,489,,
Wyoming,1/10/2021,46832,489,489,,
Wyoming,1/9/2021,46719,489,489,,
Wyoming,1/8/2021,46647,489,489,,
Wyoming,1/7/2021,46168,489,489,,
Wyoming,1/6/2021,45890,464,464,,
Wyoming,1/5/2021,45569,464,464,569,1
Wyoming,1/4/2021,45247,438,438,,
Wyoming,1/3/2021,44875,438,438,,
Wyoming,1/2/2021,44573,438,438,,
Wyoming,1/1/2021,44409,438,438,,
Wyoming,12/31/2020,44409,438,438,,
Wyoming,12/30/2020,44133,405,405,,
Wyoming,12/29/2020,43923,405,405,560,1
Wyoming,12/28/2020,43704,405,405,,
Wyoming,12/27/2020,43200,373,373,,
Wyoming,12/26/2020,43146,373,373,,
Wyoming,12/25/2020,42664,373,373,,
Wyoming,12/24/2020,42664,373,373,,
Wyoming,12/23/2020,42664,373,373,,
Wyoming,12/22/2020,42379,373,373,524,1
Wyoming,12/21/2020,42118,351,351,,
Wyoming,12/20/2020,41662,351,351,,
Wyoming,12/19/2020,41488,351,351,,
Wyoming,12/18/2020,41359,351,351,523,0
Wyoming,12/17/2020,40593,351,351,,
Wyoming,12/16/2020,40310,328,328,,
Wyoming,12/15/2020,40064,328,328,,
Wyoming,12/14/2020,39775,321,321,,
Wyoming,12/13/2020,39360,321,321,,
Wyoming,12/12/2020,38907,321,321,,
Wyoming,12/11/2020,38785,321,321,,
Wyoming,12/10/2020,38223,299,299,,
Wyoming,12/9/2020,37885,299,299,,
Wyoming,12/8/2020,37475,280,280,448,0
Wyoming,12/7/2020,36985,280,280,,
Wyoming,12/6/2020,36317,257,257,,
Wyoming,12/5/2020,35941,257,257,,
Wyoming,12/4/2020,35737,257,257,,
Wyoming,12/3/2020,35078,257,257,,
Wyoming,12/2/2020,34507,230,230,,
Wyoming,12/1/2020,33805,230,230,,
Wyoming,11/30/2020,33305,215,215,436,0
Wyoming,11/29/2020,32489,215,215,,
Wyoming,11/28/2020,31929,215,215,,
Wyoming,11/27/2020,31773,215,215,,
Wyoming,11/26/2020,30761,215,215,,
Wyoming,11/25/2020,30761,215,215,,
Wyoming,11/24/2020,29959,202,202,420,0
Wyoming,11/23/2020,29431,202,202,,
Wyoming,11/22/2020,28169,176,176,,
Wyoming,11/21/2020,27410,176,176,,
Wyoming,11/20/2020,27129,176,176,,
Wyoming,11/19/2020,26169,176,176,,
Wyoming,11/18/2020,25275,155,155,,
Wyoming,11/17/2020,24453,155,155,391,0
