State,Date,Total_Prisoner_Cases,Total_Prisoner_Deaths
Wyoming,2021-03-16,846.0,3.0
Wyoming,2021-03-09,795.0,3.0
Wyoming,2021-03-02,789.0,3.0
Wyoming,2021-02-23,770.0,3.0
Wyoming,2021-02-16,742.0,3.0
Wyoming,2021-01-19,627.0,1.0
Wyoming,2021-01-12,561.0,1.0
Wyoming,2021-01-05,569.0,1.0
Wyoming,2020-12-29,560.0,1.0
Wyoming,2020-12-22,524.0,1.0
Wyoming,2020-12-18,523.0,0.0
Wyoming,2020-12-08,448.0,0.0
Wyoming,2020-11-30,436.0,0.0
Wyoming,2020-11-24,420.0,0.0
Wyoming,2020-11-17,391.0,0.0
Wyoming,2020-11-10,304.0,0.0
Wyoming,2020-11-03,198.0,0.0
Wyoming,2020-10-29,119.0,0.0
Wyoming,2020-10-20,108.0,0.0
Wyoming,2020-10-13,108.0,0.0
Wyoming,2020-10-06,108.0,0.0
Wyoming,2020-10-02,107.0,0.0
Wyoming,2020-09-25,107.0,0.0
Wyoming,2020-09-15,107.0,0.0
Wyoming,2020-09-08,105.0,0.0
Wyoming,2020-09-02,105.0,0.0
Wyoming,2020-08-27,101.0,0.0
Wyoming,2020-08-18,92.0,0.0
Wyoming,2020-08-13,31.0,0.0
Wyoming,2020-08-03,18.0,0.0
Wyoming,2020-07-28,15.0,0.0
Wyoming,2020-07-22,3.0,0.0
Wyoming,2020-07-14,0.0,0.0
Wyoming,2020-07-06,0.0,0.0
Wyoming,2020-07-02,0.0,0.0
Wyoming,2020-06-26,0.0,0.0
Wyoming,2020-06-17,0.0,0.0
Wyoming,2020-06-09,0.0,0.0
Wyoming,2020-06-05,0.0,0.0
Wyoming,2020-05-29,0.0,0.0
Wyoming,2020-05-20,0.0,0.0
Wyoming,2020-05-14,0.0,0.0
Wyoming,2020-05-08,0.0,0.0
Wyoming,2020-04-29,0.0,0.0
Wyoming,2020-04-22,0.0,0.0
Wyoming,2020-04-15,0.0,0.0
Wyoming,2020-04-08,0.0,0.0
Wyoming,2020-04-01,0.0,0.0
Wyoming,2020-03-26,0.0,0.0
Wisconsin,2021-03-16,10888.0,25.0
Wisconsin,2021-03-09,10875.0,25.0
Wisconsin,2021-03-02,10859.0,25.0
Wisconsin,2021-02-23,10839.0,25.0
Wisconsin,2021-02-16,10831.0,25.0
Wisconsin,2021-02-09,10788.0,25.0
Wisconsin,2021-02-02,10783.0,25.0
Wisconsin,2021-01-26,10745.0,25.0
Wisconsin,2021-01-19,10642.0,25.0
Wisconsin,2021-01-12,10544.0,25.0
Wisconsin,2021-01-05,10476.0,23.0
Wisconsin,2020-12-29,10246.0,23.0
Wisconsin,2020-12-22,9639.0,19.0
Wisconsin,2020-12-15,9566.0,19.0
Wisconsin,2020-12-08,9395.0,16.0
Wisconsin,2020-12-01,8458.0,11.0
Wisconsin,2020-11-24,8226.0,11.0
Wisconsin,2020-11-17,7047.0,10.0
Wisconsin,2020-11-10,5745.0,10.0
Wisconsin,2020-11-03,4749.0,10.0
Wisconsin,2020-10-27,3845.0,3.0
Wisconsin,2020-10-20,2973.0,3.0
Wisconsin,2020-10-13,2542.0,3.0
Wisconsin,2020-10-06,2000.0,2.0
Wisconsin,2020-09-29,1573.0,0.0
Wisconsin,2020-09-22,1077.0,0.0
Wisconsin,2020-09-15,953.0,0.0
Wisconsin,2020-09-08,898.0,0.0
Wisconsin,2020-09-01,773.0,0.0
Wisconsin,2020-08-25,624.0,0.0
Wisconsin,2020-08-18,383.0,0.0
Wisconsin,2020-08-11,319.0,0.0
Wisconsin,2020-08-04,307.0,0.0
Wisconsin,2020-07-28,299.0,0.0
Wisconsin,2020-07-21,296.0,0.0
Wisconsin,2020-07-14,291.0,0.0
Wisconsin,2020-07-07,283.0,0.0
Wisconsin,2020-06-30,278.0,0.0
Wisconsin,2020-06-23,270.0,0.0
Wisconsin,2020-06-16,264.0,0.0
Wisconsin,2020-06-09,260.0,0.0
Wisconsin,2020-06-02,258.0,0.0
Wisconsin,2020-05-27,65.0,0.0
Wisconsin,2020-05-20,40.0,0.0
Wisconsin,2020-05-13,20.0,0.0
Wisconsin,2020-05-06,20.0,0.0
Wisconsin,2020-04-29,18.0,0.0
Wisconsin,2020-04-22,13.0,0.0
Wisconsin,2020-04-15,10.0,0.0
Wisconsin,2020-04-08,4.0,0.0
Wisconsin,2020-04-01,0.0,0.0
Wisconsin,2020-03-26,0.0,0.0
West Virginia,2021-03-16,1554.0,9.0
West Virginia,2021-03-09,1553.0,8.0
West Virginia,2021-03-02,1553.0,8.0
West Virginia,2021-02-23,1553.0,8.0
West Virginia,2021-02-16,1553.0,8.0
West Virginia,2021-02-09,1550.0,4.0
West Virginia,2021-02-02,1548.0,4.0
West Virginia,2021-01-26,1545.0,4.0
West Virginia,2021-01-19,1397.0,4.0
West Virginia,2021-01-12,1302.0,4.0
West Virginia,2021-01-05,1224.0,4.0
West Virginia,2020-12-29,1205.0,4.0
West Virginia,2020-12-22,965.0,4.0
West Virginia,2020-12-15,900.0,4.0
West Virginia,2020-12-08,848.0,4.0
West Virginia,2020-12-01,734.0,3.0
West Virginia,2020-11-24,650.0,2.0
West Virginia,2020-11-17,606.0,2.0
West Virginia,2020-11-10,440.0,2.0
West Virginia,2020-11-03,384.0,2.0
West Virginia,2020-10-27,337.0,2.0
West Virginia,2020-10-20,336.0,1.0
West Virginia,2020-10-13,327.0,1.0
West Virginia,2020-10-06,326.0,1.0
West Virginia,2020-09-29,325.0,1.0
West Virginia,2020-09-22,322.0,1.0
West Virginia,2020-09-15,316.0,1.0
West Virginia,2020-09-08,292.0,0.0
West Virginia,2020-09-01,269.0,0.0
West Virginia,2020-08-25,130.0,0.0
West Virginia,2020-08-18,127.0,0.0
West Virginia,2020-08-11,126.0,0.0
West Virginia,2020-08-04,126.0,0.0
West Virginia,2020-07-28,126.0,0.0
West Virginia,2020-07-21,126.0,0.0
West Virginia,2020-07-14,126.0,0.0
West Virginia,2020-07-07,126.0,0.0
West Virginia,2020-06-30,126.0,0.0
West Virginia,2020-06-09,122.0,0.0
West Virginia,2020-06-02,119.0,0.0
West Virginia,2020-05-27,102.0,0.0
West Virginia,2020-05-20,2.0,0.0
West Virginia,2020-05-13,0.0,0.0
West Virginia,2020-05-06,0.0,0.0
West Virginia,2020-04-29,0.0,0.0
West Virginia,2020-04-22,0.0,0.0
West Virginia,2020-04-15,0.0,0.0
West Virginia,2020-04-08,0.0,0.0
West Virginia,2020-04-01,0.0,0.0
West Virginia,2020-03-26,0.0,0.0
Washington,2021-03-16,6185.0,14.0
Washington,2021-03-09,6184.0,14.0
Washington,2021-03-02,6176.0,14.0
Washington,2021-02-23,6157.0,14.0
Washington,2021-02-16,6116.0,14.0
Washington,2021-02-09,6066.0,13.0
Washington,2021-02-02,5940.0,10.0
Washington,2021-01-26,5825.0,10.0
Washington,2021-01-19,5670.0,9.0
Washington,2021-01-12,5372.0,8.0
Washington,2021-01-05,4934.0,7.0
Washington,2020-12-29,4330.0,5.0
Washington,2020-12-22,3630.0,5.0
Washington,2020-12-15,2630.0,4.0
Washington,2020-12-08,2069.0,3.0
Washington,2020-12-01,936.0,3.0
Washington,2020-11-24,731.0,3.0
Washington,2020-11-17,610.0,2.0
Washington,2020-11-10,537.0,2.0
Washington,2020-11-03,531.0,2.0
Washington,2020-10-27,516.0,2.0
Washington,2020-10-20,499.0,2.0
Washington,2020-10-13,492.0,2.0
Washington,2020-10-06,486.0,2.0
Washington,2020-09-29,472.0,2.0
Washington,2020-09-22,454.0,2.0
Washington,2020-09-17,454.0,2.0
Washington,2020-09-08,451.0,2.0
Washington,2020-09-01,447.0,2.0
Washington,2020-08-25,431.0,2.0
Washington,2020-08-18,424.0,2.0
Washington,2020-08-11,377.0,2.0
Washington,2020-08-04,360.0,2.0
Washington,2020-07-28,315.0,2.0
Washington,2020-07-21,303.0,2.0
Washington,2020-07-14,277.0,2.0
Washington,2020-07-07,255.0,2.0
