State,Date,Number of Cases,Number of Deaths
Wyoming,2021-03-21,55581,693
Wyoming,2021-03-20,55581,693
Wyoming,2021-03-19,55581,693
Wyoming,2021-03-18,55479,693
Wyoming,2021-03-17,55449,693
Wyoming,2021-03-16,55352,693
Wyoming,2021-03-15,55327,691
Wyoming,2021-03-14,55163,691
Wyoming,2021-03-13,55163,691
Wyoming,2021-03-12,55163,691
Wyoming,2021-03-11,55112,691
Wyoming,2021-03-10,55014,691
Wyoming,2021-03-09,54972,691
Wyoming,2021-03-08,54903,682
Wyoming,2021-03-07,54764,682
Wyoming,2021-03-06,54764,682
Wyoming,2021-03-05,54764,682
Wyoming,2021-03-04,54685,682
Wyoming,2021-03-03,54616,682
Wyoming,2021-03-02,54527,682
Wyoming,2021-03-01,54471,671
Wyoming,2021-02-28,54394,671
Wyoming,2021-02-27,54350,671
Wyoming,2021-02-26,54350,671
Wyoming,2021-02-25,54202,671
Wyoming,2021-02-24,53988,671
Wyoming,2021-02-23,53944,671
Wyoming,2021-02-22,53900,662
Wyoming,2021-02-21,53795,662
Wyoming,2021-02-20,53683,662
Wyoming,2021-02-19,53683,662
Wyoming,2021-02-18,53531,662
Wyoming,2021-02-17,53450,662
Wyoming,2021-02-16,53351,662
Wyoming,2021-02-15,53136,647
Wyoming,2021-02-14,53136,647
Wyoming,2021-02-13,53086,647
Wyoming,2021-02-12,53086,647
Wyoming,2021-02-11,52979,647
Wyoming,2021-02-10,52874,647
Wyoming,2021-02-09,52830,647
Wyoming,2021-02-08,52784,624
Wyoming,2021-02-07,52627,624
Wyoming,2021-02-06,52618,624
Wyoming,2021-02-05,52576,624
Wyoming,2021-02-04,52468,624
Wyoming,2021-02-03,52288,624
Wyoming,2021-02-02,52128,624
Wyoming,2021-02-01,52057,596
Wyoming,2021-01-31,51912,596
Wyoming,2021-01-30,51704,596
Wyoming,2021-01-29,51690,596
Wyoming,2021-01-28,51430,596
Wyoming,2021-01-27,51368,596
Wyoming,2021-01-26,51152,596
Wyoming,2021-01-25,51062,571
Wyoming,2021-01-24,50898,571
Wyoming,2021-01-23,50583,571
Wyoming,2021-01-22,50583,571
Wyoming,2021-01-21,50424,550
Wyoming,2021-01-20,50124,550
Wyoming,2021-01-19,49922,550
Wyoming,2021-01-18,49708,522
Wyoming,2021-01-17,49363,522
Wyoming,2021-01-16,49068,522
Wyoming,2021-01-15,48909,522
Wyoming,2021-01-14,48701,522
Wyoming,2021-01-13,48289,522
Wyoming,2021-01-12,48072,522
Wyoming,2021-01-11,47395,489
Wyoming,2021-01-10,46832,489
Wyoming,2021-01-09,46719,489
Wyoming,2021-01-08,46647,489
Wyoming,2021-01-07,46168,489
Wyoming,2021-01-06,45890,464
Wyoming,2021-01-05,45569,464
Wyoming,2021-01-04,45247,438
Wyoming,2021-01-03,44875,438
Wyoming,2021-01-02,44573,438
Wyoming,2021-01-01,44409,438
Wyoming,2020-12-31,44409,438
Wyoming,2020-12-30,44133,405
Wyoming,2020-12-29,43923,405
Wyoming,2020-12-28,43704,405
Wyoming,2020-12-27,43200,373
Wyoming,2020-12-26,43146,373
Wyoming,2020-12-25,42664,373
Wyoming,2020-12-24,42664,373
Wyoming,2020-12-23,42664,373
Wyoming,2020-12-22,42379,373
Wyoming,2020-12-21,42118,351
Wyoming,2020-12-20,41662,351
Wyoming,2020-12-19,41488,351
Wyoming,2020-12-18,41359,351
Wyoming,2020-12-17,40593,351
Wyoming,2020-12-16,40310,328
Wyoming,2020-12-15,40064,328
Wyoming,2020-12-14,39775,321
Wyoming,2020-12-13,39360,321
Wyoming,2020-12-12,38907,321
Wyoming,2020-12-11,38785,321
Wyoming,2020-12-10,38223,299
Wyoming,2020-12-09,37885,299
Wyoming,2020-12-08,37475,280
Wyoming,2020-12-07,36985,280
Wyoming,2020-12-06,36317,257
Wyoming,2020-12-05,35941,257
Wyoming,2020-12-04,35737,257
Wyoming,2020-12-03,35078,257
Wyoming,2020-12-02,34507,230
Wyoming,2020-12-01,33805,230
Wyoming,2020-11-30,33305,215
Wyoming,2020-11-29,32489,215
Wyoming,2020-11-28,31929,215
Wyoming,2020-11-27,31773,215
Wyoming,2020-11-26,30761,215
Wyoming,2020-11-25,30761,215
Wyoming,2020-11-24,29959,202
Wyoming,2020-11-23,29431,202
Wyoming,2020-11-22,28169,176
Wyoming,2020-11-21,27410,176
Wyoming,2020-11-20,27129,176
Wyoming,2020-11-19,26169,176
Wyoming,2020-11-18,25275,155
Wyoming,2020-11-17,24453,155
Wyoming,2020-11-16,23193,144
Wyoming,2020-11-15,22494,144
Wyoming,2020-11-14,21881,144
Wyoming,2020-11-13,21341,127
Wyoming,2020-11-12,20479,127
Wyoming,2020-11-11,19374,127
Wyoming,2020-11-10,19242,127
Wyoming,2020-11-09,18010,114
Wyoming,2020-11-08,17310,114
Wyoming,2020-11-07,16597,105
Wyoming,2020-11-06,16405,105
Wyoming,2020-11-05,15409,105
Wyoming,2020-11-04,15044,105
Wyoming,2020-11-03,14619,93
Wyoming,2020-11-02,14167,87
Wyoming,2020-11-01,13723,87
Wyoming,2020-10-31,13298,87
Wyoming,2020-10-30,13028,87
Wyoming,2020-10-29,12507,87
Wyoming,2020-10-28,12146,77
Wyoming,2020-10-27,11806,77
Wyoming,2020-10-26,11477,77
Wyoming,2020-10-25,11041,68
Wyoming,2020-10-24,10805,68
Wyoming,2020-10-23,10545,68
Wyoming,2020-10-22,10119,68
Wyoming,2020-10-21,9848,61
Wyoming,2020-10-20,9526,61
Wyoming,2020-10-19,9311,57
Wyoming,2020-10-18,9025,57
Wyoming,2020-10-17,8816,57
Wyoming,2020-10-16,8665,57
Wyoming,2020-10-15,8375,57
Wyoming,2020-10-14,8177,57
Wyoming,2020-10-13,7964,57
Wyoming,2020-10-12,7802,54
Wyoming,2020-10-11,7611,54
Wyoming,2020-10-10,7455,54
Wyoming,2020-10-09,7335,54
Wyoming,2020-10-08,7092,54
Wyoming,2020-10-07,6899,53
Wyoming,2020-10-06,6770,53
Wyoming,2020-10-05,6629,53
Wyoming,2020-10-04,6504,53
Wyoming,2020-10-03,6365,53
Wyoming,2020-10-02,6214,53
Wyoming,2020-10-01,6083,53
Wyoming,2020-09-30,5948,50
Wyoming,2020-09-29,5821,50
Wyoming,2020-09-28,5754,50
Wyoming,2020-09-27,5633,50
Wyoming,2020-09-26,5465,50
Wyoming,2020-09-25,5420,50
Wyoming,2020-09-24,5305,50
Wyoming,2020-09-23,5169,50
Wyoming,2020-09-22,5016,49
Wyoming,2020-09-21,4944,49
Wyoming,2020-09-20,4871,49
Wyoming,2020-09-19,4780,49
Wyoming,2020-09-18,4747,49
Wyoming,2020-09-17,4652,49
Wyoming,2020-09-16,4566,46
Wyoming,2020-09-15,4438,46
Wyoming,2020-09-14,4392,46
Wyoming,2020-09-13,4346,42
Wyoming,2020-09-12,4297,42
Wyoming,2020-09-11,4264,42
Wyoming,2020-09-10,4199,42
Wyoming,2020-09-09,4151,42
Wyoming,2020-09-08,4103,42
Wyoming,2020-09-07,4032,42
Wyoming,2020-09-06,4032,42
Wyoming,2020-09-05,4006,42
Wyoming,2020-09-04,3989,42
Wyoming,2020-09-03,3939,41
Wyoming,2020-09-02,3911,41
Wyoming,2020-09-01,3866,41
Wyoming,2020-08-31,3842,37
Wyoming,2020-08-30,3820,37
Wyoming,2020-08-29,3784,37
Wyoming,2020-08-28,3763,37
Wyoming,2020-08-27,3722,37
Wyoming,2020-08-26,3684,37
Wyoming,2020-08-25,3634,37
Wyoming,2020-08-24,3603,37
Wyoming,2020-08-23,3579,37
Wyoming,2020-08-22,3543,37
Wyoming,2020-08-21,3524,37
Wyoming,2020-08-20,3468,34
Wyoming,2020-08-19,3430,34
Wyoming,2020-08-18,3360,34
Wyoming,2020-08-17,3331,33
Wyoming,2020-08-16,3286,30
Wyoming,2020-08-15,3227,30
Wyoming,2020-08-14,3183,30
Wyoming,2020-08-13,3119,29
Wyoming,2020-08-12,3086,29
Wyoming,2020-08-11,3073,29
Wyoming,2020-08-10,3042,28
Wyoming,2020-08-09,3050,28
Wyoming,2020-08-08,3013,28
Wyoming,2020-08-07,3000,28
Wyoming,2020-08-06,2958,27
Wyoming,2020-08-05,2923,27
Wyoming,2020-08-04,2884,27
Wyoming,2020-08-03,2848,27
Wyoming,2020-08-02,2808,26
Wyoming,2020-08-01,2769,26
Wyoming,2020-07-31,2726,26
Wyoming,2020-07-30,2686,26
Wyoming,2020-07-29,2628,26
Wyoming,2020-07-28,2589,26
Wyoming,2020-07-27,2520,25
Wyoming,2020-07-26,2475,25
Wyoming,2020-07-25,2446,25
Wyoming,2020-07-24,2405,25
Wyoming,2020-07-23,2347,25
Wyoming,2020-07-22,2288,25
Wyoming,2020-07-21,2238,25
Wyoming,2020-07-20,2187,24
Wyoming,2020-07-19,2126,24
Wyoming,2020-07-18,2108,24
Wyoming,2020-07-17,2069,24
Wyoming,2020-07-16,2026,24
Wyoming,2020-07-15,1985,22
Wyoming,2020-07-14,1951,22
Wyoming,2020-07-13,1903,21
Wyoming,2020-07-12,1862,21
Wyoming,2020-07-11,1839,21
Wyoming,2020-07-10,1790,21
Wyoming,2020-07-09,1774,21
Wyoming,2020-07-08,1740,21
Wyoming,2020-07-07,1711,21
Wyoming,2020-07-06,1675,20
Wyoming,2020-07-05,1634,20
Wyoming,2020-07-04,1606,20
Wyoming,2020-07-03,1582,20
Wyoming,2020-07-02,1550,20
Wyoming,2020-07-01,1514,20
Wyoming,2020-06-30,1487,20
Wyoming,2020-06-29,1450,20
Wyoming,2020-06-28,1417,20
Wyoming,2020-06-27,1392,20
Wyoming,2020-06-26,1368,20
Wyoming,2020-06-25,1326,20
Wyoming,2020-06-24,1282,20
Wyoming,2020-06-23,1254,20
Wyoming,2020-06-22,1230,20
Wyoming,2020-06-21,1197,20
Wyoming,2020-06-20,1179,20
Wyoming,2020-06-19,1173,20
Wyoming,2020-06-18,1144,18
Wyoming,2020-06-17,1114,18
Wyoming,2020-06-16,1089,18
Wyoming,2020-06-15,1079,18
Wyoming,2020-06-14,1060,18
Wyoming,2020-06-13,1050,18
Wyoming,2020-06-12,1027,18
Wyoming,2020-06-11,1009,18
Wyoming,2020-06-10,980,18
Wyoming,2020-06-09,970,17
Wyoming,2020-06-08,960,17
Wyoming,2020-06-07,947,17
Wyoming,2020-06-06,939,17
Wyoming,2020-06-05,933,17
Wyoming,2020-06-04,921,17
Wyoming,2020-06-03,915,17
Wyoming,2020-06-02,912,17
Wyoming,2020-06-01,910,17
Wyoming,2020-05-31,903,16
Wyoming,2020-05-30,898,16
Wyoming,2020-05-29,891,15
Wyoming,2020-05-28,876,15
Wyoming,2020-05-27,860,14
Wyoming,2020-05-26,850,13
Wyoming,2020-05-25,843,12
Wyoming,2020-05-24,813,12
Wyoming,2020-05-23,813,12
Wyoming,2020-05-22,803,12
Wyoming,2020-05-21,801,12
Wyoming,2020-05-20,787,11
Wyoming,2020-05-19,776,10
Wyoming,2020-05-18,766,10
Wyoming,2020-05-17,754,8
Wyoming,2020-05-16,741,7
Wyoming,2020-05-15,716,7
Wyoming,2020-05-14,701,7
Wyoming,2020-05-13,688,7
Wyoming,2020-05-12,675,7
Wyoming,2020-05-11,669,7
Wyoming,2020-05-10,662,7
Wyoming,2020-05-09,653,7
Wyoming,2020-05-08,644,7
Wyoming,2020-05-07,635,7
Wyoming,2020-05-06,631,7
Wyoming,2020-05-05,604,7
Wyoming,2020-05-04,596,7
Wyoming,2020-05-03,586,7
Wyoming,2020-05-02,579,7
Wyoming,2020-05-01,566,7
Wyoming,2020-04-30,559,7
Wyoming,2020-04-29,544,7
Wyoming,2020-04-28,536,7
Wyoming,2020-04-27,520,7
Wyoming,2020-04-26,502,7
Wyoming,2020-04-25,477,7
Wyoming,2020-04-24,473,7
Wyoming,2020-04-23,453,7
Wyoming,2020-04-22,447,6
Wyoming,2020-04-21,442,6
Wyoming,2020-04-20,426,2
Wyoming,2020-04-19,422,2
Wyoming,2020-04-18,412,2
Wyoming,2020-04-17,401,2
Wyoming,2020-04-16,393,2
Wyoming,2020-04-15,392,2
Wyoming,2020-04-14,373,1
Wyoming,2020-04-13,373,1
Wyoming,2020-04-12,364,0
Wyoming,2020-04-11,343,0
Wyoming,2020-04-10,320,0
Wyoming,2020-04-09,303,0
Wyoming,2020-04-08,230,0
Wyoming,2020-04-07,221,0
Wyoming,2020-04-06,213,0
Wyoming,2020-04-05,200,0
Wyoming,2020-04-04,189,0
Wyoming,2020-04-03,167,0
Wyoming,2020-04-02,154,0
Wyoming,2020-04-01,138,0
Wyoming,2020-03-31,121,0
Wyoming,2020-03-30,96,0
Wyoming,2020-03-29,88,0
Wyoming,2020-03-28,85,0
Wyoming,2020-03-27,74,0
Wyoming,2020-03-26,56,0
Wyoming,2020-03-25,49,0
Wyoming,2020-03-24,37,0
Wyoming,2020-03-23,28,0
Wyoming,2020-03-22,26,0
Wyoming,2020-03-21,24,0
Wyoming,2020-03-20,22,0
Wyoming,2020-03-19,18,0
Wyoming,2020-03-18,17,0
Wyoming,2020-03-17,15,0
Wyoming,2020-03-16,10,0
Wyoming,2020-03-15,3,0
Wyoming,2020-03-14,3,0
Wyoming,2020-03-13,2,0
Wyoming,2020-03-12,1,0
Wyoming,2020-03-11,1,0
Wisconsin,2021-03-21,629606,7241
Wisconsin,2021-03-20,629167,7241
Wisconsin,2021-03-19,628634,7225
Wisconsin,2021-03-18,627949,7211
Wisconsin,2021-03-17,627266,7203
Wisconsin,2021-03-16,626537,7184
Wisconsin,2021-03-15,625888,7179
Wisconsin,2021-03-14,625556,7178
Wisconsin,2021-03-13,625045,7180
Wisconsin,2021-03-12,624508,7167
Wisconsin,2021-03-11,623801,7162
Wisconsin,2021-03-10,623150,7151
Wisconsin,2021-03-09,622444,7138
Wisconsin,2021-03-08,621842,7111
Wisconsin,2021-03-07,621654,7111
Wisconsin,2021-03-06,621277,7107
Wisconsin,2021-03-05,620663,7099
Wisconsin,2021-03-04,619942,7087
Wisconsin,2021-03-03,619089,7074
Wisconsin,2021-03-02,618310,7055
Wisconsin,2021-03-01,617700,7019
Wisconsin,2021-02-28,617380,7019
Wisconsin,2021-02-27,616899,7019
Wisconsin,2021-02-26,616029,7004
Wisconsin,2021-02-25,615233,6998
Wisconsin,2021-02-24,614271,6940
Wisconsin,2021-02-23,613427,6914
Wisconsin,2021-02-22,612713,6876
Wisconsin,2021-02-21,612240,6875
Wisconsin,2021-02-20,611789,6875
Wisconsin,2021-02-19,610974,6856
