state,date,total_population,cumulative_total_test_results,cumulative_total_test_results_per_1000,total_test_results_increase,cumulative_positive_tests,positive_tests_increase,cumulative_negative_tests,cumulative_positivity_rate,cumulative_deaths,cumulative_deaths_per_100_000,deaths_increase,last_update_et,total_test_results_increase_7_day_rolling_avg,positive_tests_increase_7_day_rolling_avg,positivity_rate_7_day_rolling_avg
Alaska,2020-03-06 00:00:00,737438,8.0,0.010848369625649884,0,,0,,,0.0,0.0,0,,,,
Alaska,2020-03-07 00:00:00,737438,12.0,0.016272554438474827,4,,0,,,0.0,0.0,0,,,,
Alaska,2020-03-08 00:00:00,737438,14.0,0.018984646844887296,2,,0,,,0.0,0.0,0,,,,
Alaska,2020-03-09 00:00:00,737438,23.0,0.031189062673743422,9,,0,,,0.0,0.0,0,,,,
Alaska,2020-03-10 00:00:00,737438,23.0,0.031189062673743422,0,,0,,,0.0,0.0,0,,3.0,0.0,0.0
Alaska,2020-03-11 00:00:00,737438,46.0,0.062378125347486844,23,,0,,,0.0,0.0,0,,6.33,0.0,0.0
Alaska,2020-03-12 00:00:00,737438,46.0,0.062378125347486844,0,,0,,,0.0,0.0,0,2020-03-11 16:30:00,5.43,0.0,0.0
Alaska,2020-03-13 00:00:00,737438,60.0,0.08136277219237414,14,,0,,,0.0,0.0,0,2020-03-13 00:00:00,7.43,0.0,0.0
Alaska,2020-03-14 00:00:00,737438,144.0,0.19527065326169793,84,,0,,,0.0,0.0,0,2020-03-13 16:30:00,18.86,0.0,0.0
Alaska,2020-03-15 00:00:00,737438,144.0,0.19527065326169793,0,,0,,,0.0,0.0,0,2020-03-13 16:30:00,18.57,0.0,0.0
Alaska,2020-03-16 00:00:00,737438,144.0,0.19527065326169793,0,,0,,,0.0,0.0,0,2020-03-16 15:06:00,17.29,0.0,0.0
Alaska,2020-03-17 00:00:00,737438,337.0,0.45698757048050137,193,3.0,3,,0.8902077151335311,0.0,0.0,0,2020-03-17 00:01:00,44.86,0.43,0.96
Alaska,2020-03-18 00:00:00,737438,412.0,0.5586910357209691,75,8.0,5,,1.9417475728155338,0.0,0.0,0,2020-03-17 23:00:00,52.29,1.14,2.19
Alaska,2020-03-19 00:00:00,737438,438.0,0.5939482370043312,26,11.0,3,,2.5114155251141552,0.0,0.0,0,2020-03-18 16:30:00,56.0,1.57,2.81
Alaska,2020-03-20 00:00:00,737438,698.0,0.9465202498379525,260,14.0,3,,2.005730659025788,0.0,0.0,0,2020-03-20 16:30:00,91.14,2.0,2.19
Alaska,2020-03-21 00:00:00,737438,772.0,1.0468676688752139,74,15.0,1,,1.9430051813471503,0.0,0.0,0,2020-03-21 16:30:00,89.71,2.14,2.39
Alaska,2020-03-22 00:00:00,737438,968.0,1.3126527247036361,196,25.0,10,,2.5826446280991737,0.0,0.0,0,2020-03-21 16:30:00,117.71,3.57,3.03
Alaska,2020-03-23 00:00:00,737438,968.0,1.3126527247036361,0,38.0,13,,3.925619834710744,0.0,0.0,0,2020-03-21 16:30:00,117.71,5.43,4.61
Alaska,2020-03-24 00:00:00,737438,1022.0,1.3858792196767729,54,42.0,4,,4.10958904109589,0.0,0.0,0,2020-03-23 19:00:00,97.86,5.57,5.69
Alaska,2020-03-25 00:00:00,737438,1691.0,2.2930741296217443,669,49.0,7,,2.897693672383205,1.0,0.14,1,2020-03-24 21:00:00,182.71,5.86,3.21
Alaska,2020-03-26 00:00:00,737438,1860.0,2.5222459379635986,169,63.0,14,,3.387096774193549,1.0,0.14,0,2020-03-25 21:00:00,203.14,7.43,3.66
Alaska,2020-03-27 00:00:00,737438,2388.0,3.238238333256491,528,74.0,11,,3.0988274706867673,1.0,0.14,0,2020-03-26 21:00:00,241.43,8.57,3.55
Alaska,2020-03-28 00:00:00,737438,2921.0,3.961010959565414,533,91.0,17,,3.1153714481342005,2.0,0.27,1,2020-03-27 19:00:00,307.0,10.86,3.54
Alaska,2020-03-29 00:00:00,737438,3334.0,4.52105804148959,413,110.0,19,,3.2993401319736058,2.0,0.27,0,2020-03-28 19:00:00,338.0,12.14,3.59
Alaska,2020-03-30 00:00:00,737438,3654.0,4.954992826515586,320,118.0,8,,3.2293377120963327,3.0,0.41,1,2020-03-29 19:00:00,383.71,11.43,2.98
Alaska,2020-03-31 00:00:00,737438,3713.0,5.034999552504753,59,128.0,10,,3.447347158631834,3.0,0.41,0,2020-03-30 19:00:00,384.43,12.29,3.2
Alaska,2020-04-01 00:00:00,737438,4603.0,6.2418806733583025,890,141.0,13,,3.0632196393656312,3.0,0.41,0,2020-03-31 19:00:00,416.0,13.14,3.16
Alaska,2020-04-02 00:00:00,737438,5022.0,6.810064032501715,419,149.0,8,,2.9669454400637196,3.0,0.41,0,2020-04-01 21:00:00,451.71,12.29,2.72
Alaska,2020-04-03 00:00:00,737438,6016.0,8.157973958488714,994,160.0,11,,2.6595744680851063,3.0,0.41,0,2020-04-03 16:00:00,518.29,12.29,2.37
Alaska,2020-04-04 00:00:00,737438,6040.0,8.190519067365663,24,171.0,11,,2.8311258278145695,5.0,0.68,2,2020-04-04 16:00:00,445.57,11.43,2.56
Alaska,2020-04-05 00:00:00,737438,6284.0,8.521394340947985,244,185.0,14,,2.943984723106302,6.0,0.81,1,2020-04-05 00:00:00,421.43,10.71,2.54
Alaska,2020-04-06 00:00:00,737438,6883.0,9.33366601666852,599,191.0,6,,2.7749527822170563,6.0,0.81,0,2020-04-06 14:45:00,461.29,10.43,2.26
Alaska,2020-04-07 00:00:00,737438,6913.0,9.374347402764707,30,213.0,22,,3.081151453782728,6.0,0.81,0,2020-04-07 15:15:00,457.14,12.14,2.66
